Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,3,2,Sales Executive,4,Single,5993,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,2,2,Research Scientist,2,Married,5130,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,3,1,Research Scientist,3,Married,2909,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,3,1,Laboratory Technician,2,Married,3468,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2
35,No,Travel_Frequently,1389,Research & Development,25,2,Life Sciences,1,8,3,Male,3,1,Laboratory Technician,4,Single,3068,0,Y,No,13,3,3,80,0,8,3,2,7,7,0,6
32,No,Travel_Rarely,1001,Research & Development,5,2,Life Sciences,1,9,2,Female,3,1,Laboratory Technician,3,Single,3298,0,Y,Yes,13,3,4,80,0,6,3,3,7,7,0,6
59,No,Travel_Rarely,1435,Research & Development,25,3,Life Sciences,1,10,4,Male,4,1,Laboratory Technician,3,Married,2670,3,Y,No,20,4,1,80,1,12,3,2,1,0,0,0
30,No,Travel_Rarely,1223,Research & Development,16,1,Medical,1,11,3,Male,3,3,Healthcare Representative,3,Divorced,2696,7,Y,No,22,4,2,80,1,10,3,3,10,7,1,9
38,Yes,Travel_Rarely,1218,Sales,9,3,Life Sciences,1,12,4,Male,2,2,Sales Representative,3,Single,4197,1,Y,Yes,13,3,2,80,0,5,2,3,5,2,0,2
36,No,Travel_Rarely,1219,Research & Development,7,4,Life Sciences,1,13,3,Male,3,1,Research Scientist,3,Married,3407,0,Y,No,13,3,2,80,2,7,2,3,7,7,0,5
35,No,Travel_Rarely,1225,Research & Development,3,3,Medical,1,14,2,Female,2,1,Research Scientist,2,Married,2960,0,Y,No,15,3,4,80,1,8,2,3,8,7,3,0
29,No,Travel_Rarely,1324,Research & Development,24,1,Life Sciences,1,15,4,Male,3,1,Laboratory Technician,3,Single,2741,1,Y,Yes,12,3,2,80,0,1,2,3,1,0,0,0
31,No,Travel_Rarely,1366,Research & Development,5,4,Medical,1,16,3,Male,2,1,Laboratory Technician,2,Married,3465,0,Y,No,17,3,3,80,1,10,2,3,10,7,0,8
34,Yes,Travel_Rarely,699,Research & Development,10,1,Medical,1,17,2,Male,3,1,Laboratory Technician,3,Single,3060,2,Y,Yes,11,3,4,80,0,6,3,3,4,2,1,3
28,No,Travel_Rarely,103,Research & Development,24,3,Technical Degree,1,18,3,Male,2,1,Laboratory Technician,2,Single,2867,5,Y,Yes,14,3,2,80,0,5,3,3,0,0,0,0
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,1,20,2,Male,4,1,Research Scientist,2,Married,2326,1,Y,No,16,3,3,80,1,10,3,3,10,9,8,8
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,21,4,Female,4,1,Research Scientist,4,Single,3294,0,Y,No,13,3,4,80,0,7,3,2,7,7,0,6
22,No,Travel_Rarely,1123,Research & Development,16,2,Medical,1,22,4,Male,2,1,Laboratory Technician,2,Single,2935,1,Y,No,14,3,2,80,0,1,2,2,1,0,0,0
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,23,3,Female,3,3,Manager,3,Married,15427,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
